Id,Label,Size,modularity_class
reweighted nadaraya-watson,reweighted nadaraya-watson,1,3
time-varying parameter,time-varying parameter,2,6
nonlinear state-space model,nonlinear state-space model,2,4
pseudoscore,pseudoscore,1,6
unbiased estimator,unbiased estimator,4,4
forward-backward algorithm,forward-backward algorithm,3,4
normal scale mixture,normal scale mixture,1,2
chi-squared,chi-squared,1,3
abrupt changes,abrupt changes,1,4
genetic association study,genetic association study,2,3
contour regression,contour regression,2,0
random forests,random forests,6,0
quadratic distance,quadratic distance,2,4
electroencephalogram,electroencephalogram,1,3
local clustering,local clustering,1,3
modularity,modularity,1,3
semiparametric exponential family graphical model,semiparametric exponential family graphical model,1,5
truncated distributions,truncated distributions,1,7
binary outcome,binary outcome,4,8
consensus priors,consensus priors,1,7
degeneracy,degeneracy,2,3
quasi-likelihood method,quasi-likelihood method,1,0
median restrictions,median restrictions,1,7
sampling importance resampling,sampling importance resampling,1,2
naive confidence interval,naive confidence interval,1,5
reversible jump markov chain monte carlo simulation,reversible jump markov chain monte carlo simulation,1,4
sparse principal,sparse principal,3,8
distance matrix,distance matrix,1,0
phase transitions,phase transitions,2,1
semiparametric regression model,semiparametric regression model,2,2
spatial sampling,spatial sampling,2,1
inverse problem,inverse problem,19,1
covariance model,covariance model,3,6
phase function,phase function,1,2
heterogeneous capture probabilities,heterogeneous capture probabilities,1,1
nonparametric multivariate regression,nonparametric multivariate regression,1,5
polynomial-type large,polynomial-type large,1,2
extreme-value distribution,extreme-value distribution,1,4
spatial sign,spatial sign,1,4
*-algebra,*-algebra,1,5
simex,simex,4,6
for dimension,for dimension,1,7
quantum theory,quantum theory,1,4
missing species,missing species,1,5
data envelopment analysis,data envelopment analysis,2,4
over-dispersion,over-dispersion,2,6
bayesian information criterion,bayesian information criterion,17,7
block thresholding,block thresholding,7,6
sleep,sleep,2,4
gene fusion,gene fusion,1,2
path-following method,path-following method,1,2
local quadratic bracketing,local quadratic bracketing,1,4
absolutely regular,absolutely regular,1,8
sparse cca (scca),sparse cca (scca),2,4
gene-environment interaction,gene-environment interaction,9,8
multivariate location problem,multivariate location problem,1,6
network-valued random variable,network-valued random variable,1,1
implicit statistical models,implicit statistical models,1,8
bandwidth test,bandwidth test,2,2
status data,status data,2,2
projection pursuit method,projection pursuit method,1,5
martingale inequalities,martingale inequalities,1,1
higher-order asymptotics,higher-order asymptotics,7,8
networks,networks,6,1
local experiment,local experiment,1,0
gumbel extreme,gumbel extreme,1,2
non-canonical link function,non-canonical link function,1,5
general alternatives,general alternatives,1,4
stepdown procedure,stepdown procedure,5,1
schoenfeld residuals,schoenfeld residuals,1,5
genomic data analysis,genomic data analysis,1,3
log-linear interactions,log-linear interactions,1,6
survival data,survival data,30,7
nonlinear design problem,nonlinear design problem,1,0
energy distance,energy distance,1,7
multiple cause dropout,multiple cause dropout,1,2
agricultural field experiment,agricultural field experiment,1,2
noise variance estimator,noise variance estimator,1,6
goodness of fit,goodness of fit,18,7
source apportionment,source apportionment,1,8
grouped continuous model,grouped continuous model,1,0
rotation design,rotation design,1,5
finite mixture model,finite mixture model,8,2
nonparametric modelling,nonparametric modelling,1,2
pap smear,pap smear,1,5
population dynamics,population dynamics,1,0
plug-in principle,plug-in principle,1,3
boundary,boundary,3,7
number of components,number of components,2,4
affine duality,affine duality,1,8
shape clustering,shape clustering,1,8
scoring functions,scoring functions,1,5
protein targeting,protein targeting,1,5
convex analysis,convex analysis,1,0
polyak-ruppert averaging,polyak-ruppert averaging,1,1
carrier status prediction,carrier status prediction,1,3
subject dropout,subject dropout,1,7
z-theorem,z-theorem,1,0
competing risk,competing risk,3,4
confluent hypergeometric function,confluent hypergeometric function,1,3
sparse covariance matrix,sparse covariance matrix,1,8
replicate,replicate,1,6
approximate information matrix,approximate information matrix,1,6
adjusted test,adjusted test,1,6
nonlinear markov models,nonlinear markov models,1,2
l-statistics,l-statistics,1,2
cross-covariance function,cross-covariance function,1,0
sensitivity test,sensitivity test,1,5
atmospheric remote sensing,atmospheric remote sensing,1,4
life expectancy,life expectancy,1,7
laplace spectrum,laplace spectrum,1,4
full likelihood,full likelihood,2,4
multichannel deconvolution,multichannel deconvolution,2,6
quadratic strong,quadratic strong,1,7
dna microarray,dna microarray,2,0
large-dimensional sample,large-dimensional sample,1,1
turbine performance assessment,turbine performance assessment,1,4
parameterization,parameterization,1,1
nearest-neighbour method,nearest-neighbour method,1,8
local shrinkage,local shrinkage,1,1
latent gaussian models,latent gaussian models,4,0
therapeutic window,therapeutic window,1,4
working-independence kernel estimator,working-independence kernel estimator,1,5
quasi-likehood,quasi-likehood,1,5
kernel weight,kernel weight,1,7
slim,slim,1,4
quantum state tomography,quantum state tomography,1,1
nonindependent variables,nonindependent variables,1,8
model-assisted estimation,model-assisted estimation,1,8
geodesic principal components,geodesic principal components,1,1
gaussian hypergeometric functions,gaussian hypergeometric functions,1,5
seismic time series,seismic time series,1,3
unbiased mse estimate,unbiased mse estimate,1,3
high dimensional covariates,high dimensional covariates,1,0
average risk,average risk,1,7
inducing path,inducing path,1,7
rough paths,rough paths,1,5
false acceptance rate,false acceptance rate,1,4
irregular data,irregular data,1,6
covariate measurement error,covariate measurement error,1,2
robust estimation,robust estimation,22,2
nonparametric hypothesis,nonparametric hypothesis,1,0
median regression,median regression,8,8
probability matching prior,probability matching prior,2,0
coherence,coherence,6,2
autoregressive gaussian process,autoregressive gaussian process,1,0
exact optimal designs,exact optimal designs,1,2
transcription regulation,transcription regulation,1,4
civil right,civil right,1,5
denoised scattergram,denoised scattergram,1,4
equal percent,equal percent,1,5
power one tests,power one tests,1,2
polynomial time algorithm,polynomial time algorithm,1,3
linkage structure,linkage structure,1,5
multivariate count data,multivariate count data,2,3
for functions,for functions,1,8
consistent model selection,consistent model selection,2,8
brain network,brain network,1,1
adaptive smoothing,adaptive smoothing,2,7
data mechanism,data mechanism,1,6
treasury bill data,treasury bill data,1,3
excess mass,excess mass,5,3
image data,image data,1,3
edge processes,edge processes,1,5
kernel,kernel,17,3
meta-analysis,meta-analysis,15,7
item nonresponse,item nonresponse,3,7
multi-objective optimization,multi-objective optimization,1,6
strong partitioning principle,strong partitioning principle,2,7
smoothing spline anova,smoothing spline anova,4,0
measurement error model,measurement error model,3,1
genome-wide association studies,genome-wide association studies,2,4
latent scores,latent scores,1,2
imaging genetics,imaging genetics,1,7
distributions for,distributions for,1,6
motif discovery,motif discovery,1,4
regular and asymptotically linear estimator,regular and asymptotically linear estimator,1,0
conditional rejection probability,conditional rejection probability,2,2
competing risks,competing risks,13,4
rational expection model,rational expection model,1,2
equalizer rule,equalizer rule,1,4
nonparametric autoregression,nonparametric autoregression,1,7
dependent observations,dependent observations,1,6
provably approximately correct bayes methods,provably approximately correct bayes methods,1,3
nonconvexity,nonconvexity,2,1
doob representation,doob representation,2,1
carlo simulation,carlo simulation,1,1
laguerre polynomial,laguerre polynomial,1,0
structural difference,structural difference,1,1
model-based variance estimator,model-based variance estimator,1,4
cost efficiency,cost efficiency,2,1
bivariate gamma distribution,bivariate gamma distribution,1,4
great circle distance,great circle distance,1,0
prediction of,prediction of,1,8
syndrome virus,syndrome virus,1,5
equivalence of measures,equivalence of measures,1,4
autocorrelation,autocorrelation,9,2
regression error,regression error,1,5
case-cohort,case-cohort,1,0
hiv/aids clinical trial,hiv/aids clinical trial,1,2
indifference region,indifference region,1,2
differential geometry,differential geometry,3,8
relational data,relational data,2,4
classification accuracy,classification accuracy,2,5
order restricted analysis,order restricted analysis,1,6
beta-gamma processes,beta-gamma processes,1,4
misclassification error,misclassification error,1,2
linear mixing model,linear mixing model,1,8
managed health care,managed health care,1,6
interaction screening,interaction screening,1,6
jump regression analysis,jump regression analysis,1,1
rademacher complexities,rademacher complexities,1,4
markov operator,markov operator,2,6
sorting by reversal,sorting by reversal,1,6
correlated binary observations,correlated binary observations,1,1
tapers,tapers,1,8
forecasting model selection,forecasting model selection,1,7
realized volatility measure,realized volatility measure,1,7
additive risk,additive risk,1,7
long-memory time series,long-memory time series,2,8
self-weighted least,self-weighted least,1,5
censored quantile regression,censored quantile regression,5,5
bayes estimation,bayes estimation,2,5
estimation of divergence,estimation of divergence,2,3
consistency,consistency,116,1
random graph,random graph,4,0
high-dimensional sparse model,high-dimensional sparse model,1,7
communication constraints,communication constraints,1,2
gaussian process priors,gaussian process priors,1,0
shrinkage,shrinkage,33,4
maximum test statistic,maximum test statistic,1,1
central dimension-reduction subspace,central dimension-reduction subspace,1,6
longitudinal count data,longitudinal count data,2,5
stabilization,stabilization,1,4
latent performance,latent performance,1,1
logarithm transformation,logarithm transformation,1,7
high-dimensional factor models,high-dimensional factor models,1,8
space-time processes,space-time processes,1,8
wilcoxon,wilcoxon,1,0
improved estimation,improved estimation,1,5
morphism,morphism,1,4
validation test,validation test,1,8
split-plot design,split-plot design,2,7
optimal regime,optimal regime,1,4
uniform convergence,uniform convergence,9,2
frequency domain bootstrap,frequency domain bootstrap,1,1
multiple-threshold,multiple-threshold,1,3
